id_marks,id_targets,timestamps,ranges,azimuths,elevations,dopplers,powers,type,beam_ids,encoder_radian
2203,0,31504,1.11E+05,2.7935,0.063093,0,1118,0,-1,2.528
2205,0,31549,59925,2.719,0.0092502,0,234,0,-1,2.5341
2208,0,31545,59250,2.5913,0.082482,1,49,0,-1,2.5403
2214,0,31549,28651,2.6534,0.047719,0,2015,0,-1,2.5403
2198,0,31637,96539,2.5048,0.029285,0,1032,0,-1,2.5587
2222,0,31590,62850,2.6153,0.0072546,0,1.02E+05,0,-1,2.5648
2219,0,31571,22901,2.8642,0.14544,0,1021,0,-1,2.571
2216,0,31687,26487,2.7042,0.045596,0,667,0,-1,2.6139
2238,0,31736,37204,2.7332,0.096413,1,296,0,-1,2.6446
2272,0,31898,58107,2.6788,0.016783,0,436,0,-1,2.7366
2268,0,31949,29181,2.826,0.085007,0,1969,0,-1,2.7489
2284,0,32004,35423,2.9622,0.090519,1,488,0,-1,2.8225
2315,0,32326,2.17E+05,3.1508,0.033296,0,16,0,-1,3.0066
2332,0,32370,48280,3.0685,0.074217,1,13727,0,-1,3.068
2333,0,32431,2.28E+05,3.0736,0.033782,0,11,0,-1,3.0925
2428,0,33182,3.56E+05,3.8527,0.036759,2,14,0,-1,3.5466
2457,0,33323,1.72E+05,3.5077,0.015779,0,19,0,-1,3.6754
2459,0,33323,3.43E+05,3.9347,0.016406,1,16,0,-1,3.6754
2473,0,33574,1.04E+05,4.0521,0.032678,0,7,0,-1,3.7859
2540,0,34219,9899.1,4.4354,0.26886,0,16502,0,-1,4.2399
2553,0,34391,5519.4,4.1913,0.17109,0,17231,0,-1,4.3442
2571,0,34600,10785,4.4115,0.17139,0,3.52E+06,0,-1,4.4485
2557,0,34432,10509,4.3507,0.16645,0,1.29E+07,0,-1,4.4854
2570,0,34600,1796.9,4.6249,0.30584,0,1.44E+06,0,-1,4.4854
2587,0,34783,26882,4.4595,0.068939,0,335,0,-1,4.6204
2607,0,34901,30601,4.8303,0.023399,0,136,0,-1,4.6388
2610,0,34945,26606,4.5332,0.032368,0,168,0,-1,4.6694
2630,0,35042,26706,4.8867,0.027448,0,75,0,-1,4.786
2631,0,35042,30674,4.8213,0.030334,0,37,0,-1,4.786
2626,0,35090,52950,4.967,0.022337,0,73798,0,-1,4.786
2645,0,35135,53256,4.9699,0.011222,0,16732,0,-1,4.786
2627,0,35041,28943,5.0322,0.018518,0,5747,0,-1,4.7983
2636,0,35135,35850,5.0559,0.020029,0,19384,0,-1,4.8044
2646,0,35136,30864,4.7877,0.031441,0,108,0,-1,4.8044
2641,0,35135,15020,4.9609,0.24891,0,85,0,-1,4.8106
2605,0,34945,28523,4.5875,0.03168,0,3522,0,-1,4.8106
2635,0,35135,35725,4.6263,0.015328,0,25038,0,-1,4.8167
2606,0,34946,28780,4.8864,0.072803,0,61271,0,-1,4.829
2683,0,35364,1.07E+05,5.0108,0.051646,0,21,0,-1,4.9394
2731,0,35712,33231,5.2277,0.10338,0,4282,0,-1,5.1603
2781,0,36210,54081,5.7404,0.024927,0,6406,0,-1,5.4794
2789,0,36261,54375,5.6263,0.025045,0,2096,0,-1,5.4978
2791,0,36261,80400,5.6322,0.026152,0,524,0,-1,5.4978
2790,0,36261,68408,5.7512,0.025684,0,2516,0,-1,5.5223
2788,0,36263,68790,5.7373,0.026007,0,527,0,-1,5.5223
2802,0,36356,1.34E+05,5.6822,0.026763,0,485,0,-1,5.5837
2803,0,36356,1.32E+05,5.4716,0.025153,0,30,0,-1,5.5898
2804,0,36355,1.65E+05,5.5024,0.026867,0,231,0,-1,5.5898
2812,0,36355,91125,5.8463,0.02724,0,153,0,-1,5.6021
2830,0,36490,28661,5.5126,0.043674,0,51,0,-1,5.731
2850,0,36727,39890,5.8659,0.10446,0,48,0,-1,5.7923
2858,0,36817,13192,5.7461,0.24544,0,905,0,-1,5.8353
2868,0,36959,26929,6.2462,0.051437,0,160,0,-1,5.9334
2878,0,37002,1.25E+05,6.1583,0.057322,1,505,0,-1,5.9948
2885,0,37097,25425,6.0873,0.16012,0,380,0,-1,6.0009
2884,0,37141,1.96E+05,6.0706,0.082602,0,6,0,-1,6.0316
2916,0,37327,70701,6.0208,0.0096996,0,6.70E+05,0,-1,6.1666
2934,0,37373,53512,6.3692,0.0089607,0,2.16E+06,0,-1,6.2157
2933,0,37372,2.70E+05,6.066,0.039073,0,12,0,-1,6.2402
2923,0,37434,65836,6.0909,0.0094805,0,34988,0,-1,6.2525
2947,0,37478,63670,6.3531,0.0098852,0,1.17E+05,0,-1,6.2648
2955,0,37478,56084,6.1463,0.0081997,0,20977,0,-1,6.277
2961,0,37570,75321,6.5424,0.0096876,0,4010,0,-1,0.024544
2966,0,37570,51150,6.5434,0.012708,0,498,0,-1,0.024544
2967,0,37570,69271,6.4957,0.010512,0,9997,0,-1,0.024544
2968,0,37571,1.04E+05,6.2189,0.013383,0,220,0,-1,0.055223
2983,0,37738,66825,6.5707,0.026194,0,15413,0,-1,0.14113
2979,0,37739,37125,6.501,0.07287,0,142,0,-1,0.14113
2982,0,37738,63000,6.7281,0.021037,0,2.29E+05,0,-1,0.14113
2995,0,37782,57300,6.5994,0.011585,0,6.70E+05,0,-1,0.18408
2996,0,37846,30300,0.4232,0.0097536,0,182,0,-1,0.20249
3015,0,37957,58275,0.32494,0.015395,0,4.59E+07,0,-1,0.28225
3022,0,38001,1.84E+05,0.34834,0.025307,1,20,0,-1,0.31293
3024,0,38002,33882,0.55964,0.03728,0,507,0,-1,0.31907
3028,0,38050,54583,0.21449,0.01976,0,4.16E+06,0,-1,0.36816
3045,0,38095,38044,0.2762,0.02403,0,759,0,-1,0.39884
3040,0,38095,54825,0.29033,0.020955,0,2.99E+06,0,-1,0.40497
3047,0,38137,48750,0.41078,0.022012,0,5.98E+05,0,-1,0.40497
3053,0,38144,44316,0.66339,0.014927,0,19851,0,-1,0.43565
3056,0,38189,51370,0.65266,0.01885,0,2.54E+05,0,-1,0.43565
3044,0,38138,34549,0.27836,0.022099,0,903,0,-1,0.47247
3079,0,38349,50438,0.54439,0.0093571,0,1.27E+07,0,-1,0.51542
3068,0,38278,42966,0.58963,0.010105,0,13793,0,-1,0.51542
3087,0,38395,46352,0.58809,0.017257,0,1982,0,-1,0.55837
3095,0,38394,44891,0.71321,0.0087747,0,1.36E+05,0,-1,0.57064
3100,0,38462,48299,0.72954,0.0035494,0,2.10E+07,0,-1,0.60132
3103,0,38403,4547.5,0.55833,0.31625,0,1364,0,-1,0.60746
3106,0,38506,3.37E+05,0.65755,0.0074455,3,1221,0,-1,0.60746
3134,0,38590,46598,0.52941,0.0060724,0,5.10E+05,0,-1,0.71177
3130,0,38647,44943,1.0092,0.0095141,0,2742,0,-1,0.73017
3136,0,38647,36928,0.62362,0.0081884,0,1915,0,-1,0.73017
3146,0,38647,41174,0.61453,0.0072304,0,3180,0,-1,0.73017
3139,0,38647,46350,0.74317,0.0096904,0,36720,0,-1,0.73017
3137,0,38726,1.06E+05,0.69174,0.0096275,0,761,0,-1,0.76699
3147,0,38653,1.06E+05,0.8222,0.012492,0,2761,0,-1,0.79153
3150,0,38772,40874,0.79891,0.00033636,0,38738,0,-1,0.79153
3154,0,38726,41933,1.0761,0.014689,0,6020,0,-1,0.80381
3155,0,38728,1.43E+05,1.0721,0.069227,0,563,0,-1,0.80994
3158,0,38772,45630,0.65361,0.0023031,0,1.28E+06,0,-1,0.81608
3172,0,38921,2.20E+05,1.0684,0.036745,0,17,0,-1,0.85903
3175,0,38879,41137,0.83494,0.0031023,0,10177,0,-1,0.88971
3186,0,38927,40761,0.94843,0.0066472,0,554,0,-1,0.92039
3191,0,38982,40429,1.0436,0.0064294,0,652,0,-1,0.94493
3192,0,38982,42387,1.2422,0.0060002,0,19046,0,-1,0.95107
3195,0,39033,2.27E+05,0.99203,0.020486,0,869,0,-1,0.96334
3197,0,39082,54220,1.2841,0.021613,3,289,0,-1,0.96948
3194,0,39033,2.27E+05,0.93509,0.021419,0,2751,0,-1,0.97561
3224,0,39192,6026.3,1.2732,0.31328,0,864,0,-1,1.1045
3218,0,39157,1.80E+05,1.2478,0.041051,1,15,0,-1,1.1229
3234,0,39247,2.25E+05,1.2309,0.031462,0,20,0,-1,1.1536
3243,0,39355,98475,1.333,0.045463,0,183,0,-1,1.1536
3240,0,39313,94832,1.2987,0.047551,0,117,0,-1,1.1536
3242,0,39311,27525,1.054,0.04905,0,6367,0,-1,1.1536
3228,0,39311,29432,1.0298,0.052052,0,50072,0,-1,1.1536
3236,0,39311,29325,1.4655,0.051834,0,11094,0,-1,1.1536
3252,0,39493,10039,1.1585,0.21885,0,1.14E+05,0,-1,1.2456
3271,0,39578,6450,1.1525,0.32133,0,197,0,-1,1.3315
3270,0,39595,3.56E+05,1.4054,0.018248,2,15,0,-1,1.3315
3281,0,39578,4947.3,1.5933,0.31093,0,3547,0,-1,1.356
3287,0,39598,34175,1.5036,0.0057163,0,484,0,-1,1.356
3284,0,39656,26251,1.2894,0.0044644,0,38604,0,-1,1.3867
3286,0,39656,32065,1.3781,0.0046846,0,16511,0,-1,1.3929
3302,0,39805,27300,1.4949,0.01032,0,3228,0,-1,1.4358
3303,0,39805,28908,1.7552,0.010528,0,1725,0,-1,1.4358
3318,0,39919,48075,1.4254,0.12138,1,33,0,-1,1.5217
3319,0,39962,29867,1.7958,0.013992,0,4079,0,-1,1.5524
3334,0,40068,26561,1.763,0.011645,0,3.19E+05,0,-1,1.6199
3340,0,40111,30586,1.6476,0.010519,0,2541,0,-1,1.6567
3348,0,40111,33004,1.5774,0.021469,0,109,0,-1,1.6812
